matrix,family,trajectory,evaluated_law,actual_fill,actual_iterations,actual_full_census_J,eligible_stars,nu_sum,nu_sum_star_sampling_SE,nu_covered_stars,mean_rho,rho_covered_stars,estimated_J_sum,draws,normalization,matrix_sha256,rhs_sha256
chimera-i1-eps0.1-step1,CAST/Chimera,trace_cycle,gks,,,,99983,69698.7405518819,850.051311956093,99983,1.6159326895493178,95975,1098441.3165573229,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,trace_cycle,prufer,,,,99983,69148.84107385093,488.4136799522992,99983,1.5431086065487587,95975,1092258.644389856,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,trace_cycle,trace_cycle,3013854,15,1340529.7844464232,99983,55857.47115919694,1710.9454401043597,99983,1.1703667048112436,95975,878810.1506077577,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,trace_cycle,heavy_core_k2,,,,99983,,,,1.2144915549713602,95975,911178.835821683,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,heavy_core_k2,gks,,,,99983,68817.770422339,770.7930318643547,99983,1.5771591130364333,96054,1116225.4597067947,5312,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,heavy_core_k2,prufer,,,,99983,68915.93118700241,605.7063614881844,99983,1.521866151538082,96054,1104110.1268885878,5312,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,heavy_core_k2,trace_cycle,,,,99983,56154.86791796467,2938.588871201294,99983,1.1489941756178856,96054,881849.2457179251,5312,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,heavy_core_k2,heavy_core_k2,3005907,14,,99983,,,,1.2145589198146136,96054,924116.5433710325,5312,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,prufer,gks,,,,99982,69067.3102798473,882.7879760797329,99982,1.5826331343986118,96964,980965.2435387581,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,prufer,prufer,2605642,18,1341634.563765606,99982,67550.44007523025,665.156165397414,99982,1.4710106076222162,96964,969375.5711720608,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,prufer,trace_cycle,,,,99982,53993.99225382955,2305.0995309631357,99982,1.1339345556784681,96964,786273.6469137678,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
chimera-i1-eps0.1-step1,CAST/Chimera,prufer,heavy_core_k2,,,,99982,,,,1.1858740906454446,96964,814644.263795447,5248,ideal clique,bedd7d728e72465e7a745d09b877df63e39d6ecb7e24510402b49364d960e962,c307bf074052d03aceb23ebbe26ee55d3835ee265ef8e3f7553cf699389d118b
